Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_1608Metric",229.298500,-251.428250,180.000000,bottom
"C2","0.1uF","C_0603_1608Metric",238.188500,-253.523750,270.000000,bottom
"C3","0.1uF","C_0603_1608Metric",226.758500,-261.334250,180.000000,bottom
"C4","10uF","C_0603_1608Metric",238.188500,-259.683250,90.000000,bottom
"C5","22pF","C_0603_1608Metric",221.043500,-256.127250,180.000000,bottom
"C6","22pF","C_0603_1608Metric",221.043500,-258.159250,180.000000,bottom
"C7","1uF","C_0603_1608Metric",231.965500,-262.731250,180.000000,bottom
"D1","SOD-123","D_SOD-123",206.375000,-259.556250,90.000000,bottom
"D2","SOD-123","D_SOD-123",164.306250,-185.737500,90.000000,bottom
"D3","SOD-123","D_SOD-123",170.656250,-203.200000,90.000000,bottom
"D4","SOD-123","D_SOD-123",175.418750,-222.250000,90.000000,bottom
"D5","SOD-123","D_SOD-123",184.943750,-241.300000,90.000000,bottom
"D6","SOD-123","D_SOD-123",144.462500,-259.556250,90.000000,bottom
"D7","SOD-123","D_SOD-123",167.481250,-185.737500,90.000000,bottom
"D8","SOD-123","D_SOD-123",173.831250,-203.200000,90.000000,bottom
"D9","SOD-123","D_SOD-123",178.593750,-222.250000,90.000000,bottom
"D10","SOD-123","D_SOD-123",344.487500,-259.556250,90.000000,bottom
"D11","SOD-123","D_SOD-123",165.893750,-259.556250,90.000000,bottom
"D12","SOD-123","D_SOD-123",180.181250,-183.356250,90.000000,bottom
"D13","SOD-123","D_SOD-123",189.706250,-202.406250,90.000000,bottom
"D14","SOD-123","D_SOD-123",194.468750,-221.456250,90.000000,bottom
"D15","SOD-123","D_SOD-123",188.118750,-241.300000,90.000000,bottom
"D16","SOD-123","D_SOD-123",184.943750,-259.556250,90.000000,bottom
"D17","SOD-123","D_SOD-123",392.906250,-184.150000,90.000000,bottom
"D18","SOD-123","D_SOD-123",199.231250,-183.356250,90.000000,bottom
"D19","SOD-123","D_SOD-123",208.756250,-202.406250,90.000000,bottom
"D20","SOD-123","D_SOD-123",213.518750,-221.456250,90.000000,bottom
"D21","SOD-123","D_SOD-123",203.993750,-240.506250,90.000000,bottom
"D22","SOD-123","D_SOD-123",375.443750,-240.506250,90.000000,bottom
"D23","SOD-123","D_SOD-123",218.281250,-183.356250,90.000000,bottom
"D24","SOD-123","D_SOD-123",227.806250,-202.406250,90.000000,bottom
"D25","SOD-123","D_SOD-123",232.568750,-222.250000,90.000000,bottom
"D26","SOD-123","D_SOD-123",223.043750,-240.506250,90.000000,bottom
"D27","SOD-123","D_SOD-123",384.968750,-259.556250,90.000000,bottom
"D28","SOD-123","D_SOD-123",237.331250,-183.356250,90.000000,bottom
"D29","SOD-123","D_SOD-123",246.856250,-202.406250,90.000000,bottom
"D30","SOD-123","D_SOD-123",235.743750,-222.250000,90.000000,bottom
"D31","SOD-123","D_SOD-123",242.093750,-240.506250,90.000000,bottom
"D32","SMF6.0CA","D_SOD-123",152.400000,-192.087500,90.000000,bottom
"D33","SOD-123","D_SOD-123",256.381250,-183.356250,90.000000,bottom
"D34","SOD-123","D_SOD-123",265.906250,-202.406250,90.000000,bottom
"D35","SOD-123","D_SOD-123",272.256250,-221.456250,90.000000,bottom
"D36","SOD-123","D_SOD-123",261.143750,-240.506250,90.000000,bottom
"D38","SOD-123","D_SOD-123",275.431250,-183.356250,90.000000,bottom
"D39","SOD-123","D_SOD-123",284.956250,-202.406250,90.000000,bottom
"D40","SOD-123","D_SOD-123",289.718750,-221.456250,90.000000,bottom
"D41","SOD-123","D_SOD-123",280.193750,-240.506250,90.000000,bottom
"D42","SOD-123","D_SOD-123",288.131250,-259.556250,90.000000,bottom
"D44","SOD-123","D_SOD-123",294.481250,-183.356250,90.000000,bottom
"D45","SOD-123","D_SOD-123",304.006250,-202.406250,90.000000,bottom
"D46","SOD-123","D_SOD-123",308.768750,-221.456250,90.000000,bottom
"D47","SOD-123","D_SOD-123",299.243750,-240.506250,90.000000,bottom
"D49","SOD-123","D_SOD-123",313.531250,-183.356250,90.000000,bottom
"D50","SOD-123","D_SOD-123",323.056250,-202.406250,90.000000,bottom
"D51","SOD-123","D_SOD-123",327.818750,-221.456250,90.000000,bottom
"D52","SOD-123","D_SOD-123",318.293750,-240.506250,90.000000,bottom
"D54","SOD-123","D_SOD-123",332.581250,-183.356250,90.000000,bottom
"D55","SOD-123","D_SOD-123",342.106250,-202.406250,90.000000,bottom
"D56","SOD-123","D_SOD-123",346.868750,-221.456250,90.000000,bottom
"D57","SOD-123","D_SOD-123",337.343750,-240.506250,90.000000,bottom
"D59","SOD-123","D_SOD-123",351.631250,-183.356250,90.000000,bottom
"D60","SOD-123","D_SOD-123",361.156250,-203.200000,90.000000,bottom
"D61","SOD-123","D_SOD-123",365.918750,-222.250000,90.000000,bottom
"D62","SOD-123","D_SOD-123",356.393750,-240.506250,90.000000,bottom
"D63","SOD-123","D_SOD-123",365.918750,-259.556250,90.000000,bottom
"D65","SOD-123","D_SOD-123",370.681250,-183.356250,90.000000,bottom
"D66","SOD-123","D_SOD-123",364.331250,-203.200000,90.000000,bottom
"D67","SOD-123","D_SOD-123",378.618750,-240.506250,90.000000,bottom
"D70","SOD-123","D_SOD-123",389.731250,-184.150000,90.000000,bottom
"D71","SOD-123","D_SOD-123",384.968750,-221.456250,90.000000,bottom
"D72","SOD-123","D_SOD-123",369.093750,-222.250000,90.000000,bottom
"D74","SOD-123","D_SOD-123",388.143750,-259.556250,90.000000,bottom
"F1","Polyfuse_Small","Fuse_1206_3216Metric",149.225000,-192.087500,270.000000,bottom
"L1","60R@100MHz","L_1206_3216Metric",149.987000,-176.784000,270.000000,bottom
"R1","22","R_0603_1608Metric",213.645750,-256.381250,90.000000,bottom
"R2","5.1k","R_0603_1608Metric",134.874000,-177.546000,90.000000,bottom
"R3","22","R_0603_1608Metric",211.709000,-256.381250,90.000000,bottom
"R4","1k","R_0603_1608Metric",240.093500,-253.523750,90.000000,bottom
"R5","10k","R_0603_1608Metric",237.439200,-262.737600,0.000000,bottom
"R6","5.1k","R_0603_1608Metric",136.779000,-177.546000,90.000000,bottom
"SW1","SW_Push","SW_SPST_TL3342",253.206250,-257.968750,180.000000,bottom
"U1","ATmega32U4-MU","QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm",232.679000,-256.874250,90.000000,bottom
"U2","PRTR5V0U2X","SOT143B",144.018000,-189.103000,180.000000,bottom
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-Assembly",143.192500,-170.967400,0.000000,bottom
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",224.726500,-257.143250,270.000000,bottom
