Ref,Val,Package,PosX,PosY,Rot,Side
"K_#0_1","MX-NoLED","MXOnly-1U-Hotswap",324.643750,-181.768750,0.000000,top
"K_#1","MX-NoLED","MXOnly-1U-Hotswap",153.193750,-181.768750,180.000000,top
"K_#2","MX-NoLED","MXOnly-1U-Hotswap",172.243750,-181.768750,0.000000,top
"K_#3","MX-NoLED","MXOnly-1U-Hotswap",191.293750,-181.768750,0.000000,top
"K_#4","MX-NoLED","MXOnly-1U-Hotswap",210.343750,-181.768750,0.000000,top
"K_#5","MX-NoLED","MXOnly-1U-Hotswap",229.393750,-181.768750,0.000000,top
"K_#6","MX-NoLED","MXOnly-1U-Hotswap",248.443750,-181.768750,0.000000,top
"K_#7","MX-NoLED","MXOnly-1U-Hotswap",267.493750,-181.768750,0.000000,top
"K_#8","MX-NoLED","MXOnly-1U-Hotswap",286.543750,-181.768750,0.000000,top
"K_#9","MX-NoLED","MXOnly-1U-Hotswap",305.593750,-181.768750,0.000000,top
"K_'1","MX-NoLED","MXOnly-1U-Hotswap",357.981250,-219.868750,0.000000,top
"K_,1","MX-NoLED","MXOnly-1U-Hotswap",310.356250,-238.918750,0.000000,top
"K_-1","MX-NoLED","MXOnly-1U-Hotswap",343.693750,-181.768750,0.000000,top
"K_.1","MX-NoLED","MXOnly-1U-Hotswap",329.406250,-238.918750,0.000000,top
"K_/1","MX-NoLED","MXOnly-1U-Hotswap",348.456250,-238.918750,0.000000,top
"K_;1","MX-NoLED","MXOnly-1U-Hotswap",338.931250,-219.868750,0.000000,top
"K_=1","MX-NoLED","MXOnly-1U-Hotswap",362.743750,-181.768750,0.000000,top
"K_A1","MX-NoLED","MXOnly-1U-Hotswap",167.481250,-219.868750,0.000000,top
"K_B1","MX-NoLED","MXOnly-1U-Hotswap",253.206250,-238.918750,0.000000,top
"K_C1","MX-NoLED","MXOnly-1U-Hotswap",215.106250,-238.918750,0.000000,top
"K_CAPS1","MX-LED","MXOnly-1.75U-Hotswap",141.287500,-219.868750,0.000000,top
"K_D1","MX-NoLED","MXOnly-1U-Hotswap",205.581250,-219.868750,0.000000,top
"K_E1","MX-NoLED","MXOnly-1U-Hotswap",200.818750,-200.818750,0.000000,top
"K_ESC1","MX-NoLED","MXOnly-1U-Hotswap",134.143750,-181.768750,180.000000,top
"K_F1","MX-NoLED","MXOnly-1U-Hotswap",224.631250,-219.868750,0.000000,top
"K_G1","MX-NoLED","MXOnly-1U-Hotswap",243.681250,-219.868750,0.000000,top
"K_H1","MX-NoLED","MXOnly-1U-Hotswap",262.731250,-219.868750,270.000000,top
"K_I1","MX-NoLED","MXOnly-1U-Hotswap",296.068750,-200.818750,0.000000,top
"K_J1","MX-NoLED","MXOnly-1U-Hotswap",281.781250,-219.868750,0.000000,top
"K_K1","MX-NoLED","MXOnly-1U-Hotswap",300.831250,-219.868750,0.000000,top
"K_L1","MX-NoLED","MXOnly-1U-Hotswap",319.881250,-219.868750,0.000000,top
"K_LALT1","MX-NoLED","MXOnly-1U-Hotswap",177.006250,-257.968750,0.000000,top
"K_LCTRL1","MX-NoLED","MXOnly-1.25U-Hotswap",136.525000,-257.968750,0.000000,top
"K_LGUI1","MX-NoLED","MXOnly-1U-Hotswap",157.956250,-257.968750,0.000000,top
"K_LSFT1","MX-NoLED","MXOnly-2.25U-Hotswap",146.050000,-238.918750,0.000000,top
"K_M1","MX-NoLED","MXOnly-1U-Hotswap",291.306250,-238.918750,0.000000,top
"K_N1","MX-NoLED","MXOnly-1U-Hotswap",272.256250,-238.918750,0.000000,top
"K_NFER1","MX-NoLED","MXOnly-1.25U-Hotswap",198.437500,-257.968750,0.000000,top
"K_O1","MX-NoLED","MXOnly-1U-Hotswap",315.118750,-200.818750,0.000000,top
"K_P1","MX-NoLED","MXOnly-1U-Hotswap",334.168750,-200.818750,0.000000,top
"K_Q1","MX-NoLED","MXOnly-1U-Hotswap",162.718750,-200.818750,0.000000,top
"K_R1","MX-NoLED","MXOnly-1U-Hotswap",219.868750,-200.818750,0.000000,top
"K_RALT1","MX-NoLED","MXOnly-1U-Hotswap",357.981250,-257.968750,0.000000,top
"K_RCTRL1","MX-NoLED","MXOnly-1.25U-Hotswap",398.462500,-257.968750,0.000000,top
"K_RGUI1","MX-NoLED","MXOnly-1U-Hotswap",377.031250,-257.968750,0.000000,top
"K_S1","MX-NoLED","MXOnly-1U-Hotswap",186.531250,-219.868750,0.000000,top
"K_SBSPC1","MX-NoLED","MXOnly-1U-Hotswap",381.793750,-181.768750,0.000000,top
"K_SBSPC2","MX-NoLED","MXOnly-1U-Hotswap",400.843750,-181.768750,0.000000,top
"K_SPC2","MX-NoLED","MXOnly-1U-Hotswap",277.018750,-257.968750,180.000000,top
"K_SRSFT1","MX-NoLED","MXOnly-1U-Hotswap",367.506250,-238.918750,0.000000,top
"K_SRSFT2","MX-NoLED","MXOnly-1.75U-Hotswap",393.700000,-238.918750,0.000000,top
"K_T1","MX-NoLED","MXOnly-1U-Hotswap",238.918750,-200.818750,0.000000,top
"K_TAB1","MX-NoLED","MXOnly-1.5U-Hotswap",138.906250,-200.818750,0.000000,top
"K_U1","MX-NoLED","MXOnly-1U-Hotswap",277.018750,-200.818750,0.000000,top
"K_V1","MX-NoLED","MXOnly-1U-Hotswap",234.156250,-238.918750,0.000000,top
"K_W1","MX-NoLED","MXOnly-1U-Hotswap",181.768750,-200.818750,0.000000,top
"K_X1","MX-NoLED","MXOnly-1U-Hotswap",196.056250,-238.918750,0.000000,top
"K_XFER1","MX-NoLED","MXOnly-1.25U-Hotswap",336.550000,-257.968750,0.000000,top
"K_Y1","MX-NoLED","MXOnly-1U-Hotswap",257.968750,-200.818750,0.000000,top
"K_Z1","MX-NoLED","MXOnly-1U-Hotswap",177.006250,-238.918750,0.000000,top
"K_[1","MX-NoLED","MXOnly-1U-Hotswap",353.218750,-200.818750,0.000000,top
"K_\1","MX-NoLED","MXOnly-1U-Hotswap",377.031250,-219.868750,0.000000,top
"K_]1","MX-NoLED","MXOnly-1U-Hotswap",372.268750,-200.818750,0.000000,top
